cc_dnssec,asn,name,dnssec_validates,uses_google_pdns,samples
MZ,328274,BBID1-AS,0,0,0
ZA,328275,BWSC1-AS,0.0141,0,71
NG,328276,CNL2-AS,0.0952,0.8238,210
ZA,328278,WiberSolutions-AS,0.9583,0.9667,120
LR,328279,NAS-Inter-Global-AS,0.3,0.46,50
MA,328280,LNDR1-AS,0,0,1
TG,328282,TEOLIS-SAU,0,0,8
SL,328289,Ceedee-Investment-AS,0.3421,0.4123,342
ZA,328320,Kurlec-AS,0.95,1,60
CD,32842,IBURST,0,0,5
TZ,32860,CATS-NET-NETWORK,0.0357,0.3104,364
ZA,3300,BT,0,0,38
EG,3328,Reserved (ripencc),0.125,0.3295,88
